date,Winner,B_fighter,R_fighter,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10
2014-02-22,0,TJ Waldburger,Mike Pyle,65.30174427875924,24.1951524254281,14.316249349839849,-13.908485844830132,-9.484422616078513,-7.006679796843038,-3.250710918516131,2.44640296004608,-0.7213607008382429,-0.11436825345763554
2013-11-16,1,Ali Bagautinov,Tim Elliott,12.725206105741933,32.417369335681826,2.1380839426294385,-11.483418364857737,-0.047830136186393236,-0.24546777448602938,-1.4134834594520314,-2.252483523658625,-2.1538649384344026,2.044196566313051
2021-05-22,1,Jared Vanderaa,Justin Tafa,48.33398978813994,10.227754280352872,-25.89042733800464,-7.818272753570201,8.665890815348762,-10.283129526527759,-2.6116105007837835,1.7362729815243696,-3.273778952958747,-3.000120655291817
2019-04-20,0,Rafael Fiziev,Magomed Mustafaev,-14.841064408661286,-4.263534035329516,6.4474670152324185,-0.6390811358731323,1.9657456299546208,1.7257581688533563,-2.3228751016968574,-1.349182450474978,2.9316439727286006,2.762463688661901
2019-02-02,0,David Teymur,Charles Oliveira,-23.376255237934075,-1.643922656114016,-12.432874986348144,3.8833505984230774,6.081386017293567,-3.4971324351737336,-0.6273877687952052,0.4005213996319988,4.022375006607627,1.7119230490386492
2014-07-19,0,Diego Brandao,Conor McGregor,-59.33976753054188,0.7742431900634822,6.1069290443671,-0.9933333360340927,-1.2095059020108132,-0.9788390233456133,-2.3310782283839715,4.812381755877953,-5.92623286419275,-5.665281685478757
2016-10-08,0,Dan Henderson,Michael Bisping,-48.997215528374966,13.818334114807081,9.040923565391676,14.542555715284948,-4.590314325940783,-3.123957130955678,-2.596865908296853,3.6688301158756538,-4.737181440556519,-3.8169091256284005
2013-07-06,0,Roger Gracie,Tim Kennedy,-10.884865398906319,-9.993390913163648,-1.319241259107122,-14.193249058708306,0.23736813926202593,0.7099323988926117,0.19900523723390545,0.8231385317567018,-2.577202222101986,7.99399168334012
2020-08-22,1,Shana Dobson,Mariya Agapova,-40.36382123745178,2.4992380553214915,10.938762664047516,10.748978942872217,7.399342944669775,-2.9044101402226152,-5.374655249240916,4.616744377255318,1.0396221863786164,0.030414347724353544
2013-04-13,0,Gilbert Smith,Bubba McDaniel,-48.07062475216209,-13.126937017940696,-1.4031031988790335,9.129850526114707,1.9027907476299406,2.2809763529002938,-5.299782718270313,3.240920289308621,1.4056753850703547,1.7917193041307713
2016-03-05,0,Marcelo Guimaraes,Vitor Miranda,-38.8086673787033,12.720268831096512,0.2644439661298918,7.326680623041716,-3.5449287750871012,-11.405914342927923,-8.467906570160059,-10.961500818734745,3.4071966616200067,-1.449327590473866
2010-12-04,0,Aaron Wilkinson,Cody McKenzie,-29.786208179974356,20.635515683943158,-7.358872784477843,2.7703837696111635,0.3868073118835236,1.039204577926361,1.3476199991981839,0.9654517062127405,-3.320851591812976,8.275879841853499
2017-09-22,0,Chanmi Jeon,Syuri Kondo,-60.32960066728148,37.78393507190704,-7.285984005127504,8.173138675653618,-1.0856288687382927,-0.6723133391173919,-2.590255240787216,-5.386656668164686,0.3129708488149679,2.1670089178153416
2018-11-17,0,Anderson Dos Santos,Nad Narimani,15.277752579506405,90.49572703067847,-45.48388029305275,-7.905586342679262,3.4865922238187594,2.8889245433386446,-1.9134441223514915,0.18276367347025385,-1.0772179007999865,-2.8865560428051302
2021-04-24,0,Jimmy Crute,Anthony Smith,129.28481920355262,12.96612061197066,1.4456171024824134,10.370670363847843,12.483897696384442,-10.163835928354713,4.067772589702908,-3.704500470244298,-2.0879717656923216,1.7938631026298535
2012-04-14,0,Diego Nunes,Dennis Siver,-65.49977369515004,34.172128572591475,0.21421657303300934,22.109660541375305,-5.275713188199626,-3.4571708171016176,0.8894913439153403,-2.941432882675268,1.8845446345097159,3.2787874416703136
2013-04-13,0,Kevin Casey,Josh Samman,-46.477604256100015,11.288128288740012,-11.227439942451305,7.158166298239463,-2.2934029942579723,-1.0823476694303855,-1.5335901184297624,1.1011992968301012,-3.355203114311689,-0.3944262431262251
2021-02-13,0,Ian Heinisch,Kelvin Gastelum,-10.372700184732171,24.385811820080818,4.483398167896353,-10.326650898760805,5.964651623031062,3.999200489528818,2.360481520223856,2.6702896856480756,-2.253249538450559,-0.9613237124334962
2013-08-28,0,Erik Perez,Takeya Mizugaki,111.1476076331503,-4.677167614072351,9.49938132643713,13.43362211267972,-7.646853947856924,8.761172101796497,-5.754241773897544,2.8257863408220256,-0.8674005320498273,-1.8873981476638142
2017-10-28,0,Jack Marshman,Antonio Carlos Junior,-58.4299809474261,20.104103517294813,8.329600179366151,-0.3935831371259058,1.9633055968517583,1.2111348357794425,-5.8696006841947534,3.018457424596226,-4.806245309724156,-2.294689571302659
2011-02-26,0,Jorge Rivera,Michael Bisping,-9.259421184903346,-12.140138198037047,-6.312436803529461,-19.031909516750506,-8.364227448402353,-5.955578552323009,0.42169318679926215,3.906409647683949,4.0818037965916245,-4.510770045121071
2019-07-06,0,Nohelin Hernandez,Marlon Vera,29.06623119491228,-19.733254832644775,0.5283644603138956,-1.9793269204704769,-5.693567885454243,-3.6654864441453805,4.992372514985154,1.5836053899176705,-2.0336041052517313,-4.0628535786211915
2014-03-01,1,Zhang Lipeng,Sai Wang,10.129389809107108,-14.20562812691091,5.178562925999797,-10.409755409324296,2.0152239602650894,1.4012079061964136,-0.6456309465745225,-3.483574828295956,-0.9148504757881604,-1.7801565619489712
